1, 吉,「開泰」萬物本源，富貴長壽，名成利就，終身享福。
2, 凶,「破滅」分離破滅，內外波瀾，困苦不安，破滅無常。
3, 吉,「吉祥」陰陽抱合，天資穎悟，增進繁榮，福祉無窮。
4, 凶,「兇變」破滅病難，失和傷亡，進退維谷，變死夭折。
5, 吉,「福壽」陰陽交感，和合完璧，福祿長壽，富貴榮華。
6, 吉,「安穩」天德地祥，吉人天相，家運隆昌，福自天降。
7, 吉,「精悍」剛毅果斷，權威獨立，排除萬難，克敵成功。
8, 吉,「堅剛」意志堅強，進取奮發，貫徹初衷，名實兩得。
9, 凶,「凶惡」利去名空，窮迫慘淡，逆運遭難，短命失怙。
10, 凶,「零暗」萬事終局，悲運零暗，欲振乏力，生離死別。
11, 吉,「逢春」陰陽新復，萬事順遂，穩健著實，富貴繁衍。
12, 凶,「不足」緣薄境逆，孤獨失意，謀事難成，病弱破財。
13, 吉,「智略」智能出眾，博學多才，善處事務，能奏大功。
14, 凶,「破兆」親族緣薄，財運不佳，一生沉浮，勞而無功。
15, 吉,「福壽」富貴榮華，財子壽全，慈祥有德，譽享子孫。
16, 吉,「貴人」逢凶化吉，雅量厚重，得眾敬仰，大業成就。
17, 吉,「過剛」剛性固執，突破萬難，善養柔德，可成大業。
18, 吉,「智謀」權力智謀，意志堅定，必破諸侯，功成名就。
19, 凶,「多難」才智兼備，病若孤獨，內外不合，障礙重重。
20, 凶,「破運」災難疊至，凶禍頻臨，家運不興，病弱命短。
21, 吉,「明月」獨立權威，首領群倫，富貴榮顯，女性主寡。
22, 凶,「秋草」雖有才智，大志不伸，常受挫折，晚景堪憐。
23, 吉,「旭日」首領運格，致勝物事，功名顯赫，女性主寡。
24, 吉,「慶餘」智略出眾，白手成家，老境豐裕，福及子孫。
25, 吉,「英敏」擅長社交，才能奇特，宜養柔德，大業可成。
26, 凶,「變怪」變動無常，波瀾重疊，秉賦聰穎，富俠義心。
27, 中,「不和」個性倔強，易受眾議，若能自省，可免失敗。
28, 凶,「別離」豪傑氣概，自恃過高，生離死別，終生勞苦。
29, 吉,「才智」才智兼備，活動力強，可成大業，女主孤苦。
30, 凶,「浮沈」吉凶參半，成敗難定，處事投機，絕死逢生。
31, 吉,「勇志」俱智仁勇，越挫越振，統御力強，名成利就。
32, 吉,「幸運」貴人扶助，如魚得水，感恩行善，家門隆昌。
33, 吉,「昇隆」權威智謀，才德兼備，隆昌至極，女主孤寡。
34, 凶,「破家」慘淡悲痛，破家亡身，精神異亂，凶煞不斷。
35, 吉,「溫順」溫良和順，擅長藝術，稍欠膽識，婦女大吉。
36, 凶,「風浪」俠情義氣，捨己助人，波瀾起伏，變化多端。
37, 吉,「權威」忠誠有德，獨立權威，萬事如意，大業成就。
38, 中,「薄弱」缺乏威勢，平凡薄弱，富幻想力，長於文藝。
39, 吉,「富貴」光明榮達，權勢長壽，子孫昌隆，女主孤寡。
40, 凶,「退安」膽識過人，乏德不遜，刑傷惹禍，宜退保安。
41, 吉,「有德」忠愛堅實，才謀健全，財源廣進，洋洋得意。
42, 中,「才藝」多方興趣，十九不成，專心進取，庶可成功。
43, 凶,「散財」懷才不遇，難有大成，外見幸福，實則勞煩。
44, 凶,「煩悶」凡事不順，逆境頻仍，障礙疾病，徒勞無功。
45, 吉,「順風」經綸智謀，穩重沉著，過關斬將，光明前途。
46, 凶,「波瀾」浮沈不定，艱難困苦，意志薄弱，欲振乏力。
47, 吉,「開花」大業成就，能屈能伸，圓滿無礙，福及子孫。
48, 吉,「德智」智謀才能，德望亦高，堪為顧問，實至名歸。
49, 凶,「變化」趨吉則吉，遇凶則凶，變化無常，難達目的。
50, 凶,「離愁」成敗瞬間，吉凶難判，如有大成，終告破敗。
51, 中,「浮沈」一盛一衰，吉凶參半，早年有成，晚年浮沈。
52, 吉,「先見」遠見卓識，洞燭先機，貫徹大志，榮隆綿綿。
53, 凶,「內憂」外觀禎祥，內患障礙，前半幸福，後半苦境。
54, 凶,「多難」苦境不絕，不睦失和，憂悶疾患，孤獨橫禍。
55, 中,「煩勞」盛極反凶，滯留不進，如能堅志，或有後望。
56, 凶,「衰退」乏力志弱，事與願違，十事九敗，晚境淒涼。
57, 吉,「朝日」資性剛強，遇難能化，時來運轉，後福無窮。
58, 中,「晚成」個性剛強，大難不死，雖有禍端，大器晚成。
59, 凶,「懦弱」缺乏耐心，意志不堅，好事不成，終生勞苦。
60, 凶,「暗淡」無謀無算，心迷意亂，動搖不安，病苦終身。
61, 吉,「名利」天賦富貴，排除萬難，宜養柔德，名利雙收。
62, 凶,「衰敗」身心雜亂，雪上如霜，志望難伸，家運衰廢。
63, 吉,「福祿」諸事如意，不費心神，子孫繁榮，福祿雙收。
64, 凶,「離敗」浮沈破敗，困苦無靠，意外災害，骨肉離散。
65, 吉,「福壽」溫厚篤實，能享盛名，家運昌隆，富貴長壽。
66, 凶,「不和」滯塞窮迫，進退維谷，內外不和，信用缺乏。
67, 吉,「亨通」蒙上扶掖，諸事無礙，貫徹大志，蒙成利豐。
68, 吉,「自立」思慮周詳，操守高潔，勤勉力行，實至名歸。
69, 凶,「不安」滯塞窮迫，動搖不安，精神異常，處境堪憐。
70, 凶,「險絕」險惡暗淡，憂苦不絕，雜亂刑剋，恐致失明。
71, 中,「勞碌」秋夜羞月，秀麗不實，東奔西走，勞而無功。
72, 凶,「陰暗」外吉內凶，昨樂今悲，非吉即凶，禍福無由。
73, 吉,「安祥」志高性善，保守可成，天賦福祉，晚境寧祥。
74, 凶,「逆運」秋霜落葉，時有災厄，智能平凡，蹉跎歲月。
75, 中,「退守」不謀急功，易受阻礙，妄進大敗，知足常樂。
76, 凶,「傾盪」內外不和，一家離散，敗產傾家，病弱纏身。
77, 中,「後吉」吉中有凶，樂極生悲，前半若苦，後半轉吉。
78, 中,「落葉」才智俱備，中年有成，好景不常，暫自衰退。
79, 凶,「無謀」精神不定，缺乏節操，失信受青，欲振乏力。
80, 凶,「遁吉」吉星遼遠，障礙迭來，隱遁守成，化凶為吉。
81, 吉,「還原」最極之數，陽氣歸元，萬寶朝宗，大吉大利。
